id	modified	bibliographicCitation	references	institutionCode	collectionCode	basisOfRecord	catalogNumber	individualCount	year	month	day	fieldNotes	waterBody	country	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	identifiedBy	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificNameAuthorship
urn:catalog:AADC:NSSD:NSSD-6011	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-6011	5	1999	04	02		Southern Ocean	Australia		0	0	-64.1	103.066666667	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-6009	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-6009	5	1999	04	02		Southern Ocean	Australia		0	0	-64.05	102.533333333	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-6004	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-6004	1	1998	12	17		Southern Ocean	Australia		0	0	-64.9833333333	105.283333333	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-6003	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-6003	2	1998	11	17		Southern Ocean	Australia		0	0	-65.5	77.6	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-6002	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-6002	1	1998	11	13		Southern Ocean	Australia		0	0			500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-5621	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5621	20	1984	08	11	swimming under boat and about boat - See file part 1	Southern Ocean	Australia	Bathurst Lighthouse -  Rottnes	0	0	-32.0166666667	115.5	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-4949	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-4949	1	1992	03	03	animal found dead on beach - See file Part 5 - animal stranded after storm WA Museum notifiecd to take measurements.	Southern Ocean	Australia	Middle Island - Barrow Island	0	0	-20.9166666667	115.316666667	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-4883	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-4883	1	1979	03	23	See File part 1	Southern Ocean	Australia		0	0	-32.55	114.216666667	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-4882	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-4882	1	1979	03	23	See File part 1	Southern Ocean	Australia		0	0	-33.1666666667	114.166666667	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-4881	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-4881	5	1979	03	12	See File part 1	Southern Ocean	Australia		0	0	-35.6333333333	135.083333333	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
